TS_num,     Mem_Usage,  Insert_throughput,  Query_latency,  Query_throughput
0,          9.445MB
10000,      6.987GB,
20000,      11.9(8.458 after query),    
30000,      13.01(12.65)
40000,      13.25(13.22)
50000,      13.32(13.3)
60000.      13.46(13.4)
70000,      13.94(13.64)
80000,      (13.94)






